x,y,s,id,cnt
0,45056,4096,1,1995
4096,45056,4096,1,1995
0,49152,4096,1,1995
4096,49152,4096,1,1995
0,53248,4096,1,1995
4096,53248,4096,1,1995
8192,49152,2048,1,1995
8192,51200,2048,1,1995
8192,53248,2048,1,1995
10240,56320,1024,1,1995
4096,57344,2048,1,1995
10240,58368,1024,1,1995
11264,58368,1024,1,1995
11264,59392,1024,1,1995
10240,60416,1024,1,1995
11264,60416,1024,1,1995
8192,59392,2048,1,1995
14848,57600,128,1,1995
15296,57792,64,1,1995
14336,58112,256,1,1995
14976,58112,128,1,1995
14336,58368,256,1,1995
14336,58624,256,1,1995
14848,59008,128,1,1995
15104,59008,128,1,1995
15232,59072,64,1,1995
15360,58432,64,1,1995
15744,58432,64,2,1995
15936,58816,64,2,1995
16128,58752,128,2,1995
15360,59008,64,1,1995
15776,59040,32,2,1995
15424,59264,64,1,1995
15626,59182,2,2,1995
15680,59184,16,2,1995
15744,59200,32,2,1995
12288,57344,1024,1,1995
12288,58368,1024,1,1995
13312,58368,512,1,1995
13824,58368,512,1,1995
13312,58880,512,1,1995
13824,58880,512,1,1995
14336,59648,256,1,1995
14848,59392,256,1,1995
15104,59520,128,1,1995
15232,59520,128,1,1995
14848,59648,256,1,1995
15104,59776,128,1,1995
14336,59904,256,1,1995
14592,59904,256,1,1995
14336,60160,256,1,1995
14592,60160,256,1,1995
14848,59904,256,1,1995
15232,60032,128,1,1995
14848,60160,256,1,1995
15104,60288,128,1,1995
15232,60288,128,1,1995
15232,60160,128,1,1995
15360,59520,64,1,1995
15424,59392,64,1,1995
15676,59520,4,2,1995
15520,59872,32,1,1995
15424,59648,64,1,1995
15712,59840,8,2,1995
15840,59648,32,2,1995
15936,59456,64,2,1995
16128,59776,128,2,1995
15840,59968,32,2,1995
15488,60352,64,1,1995
15424,60224,64,1,1995
15360,60160,64,1,1995
15904,60000,32,2,1995
16256,60288,128,2,1995
14336,60416,256,1,1995
14592,60416,256,1,1995
14336,60672,256,1,1995
14592,60672,256,1,1995
14848,60416,256,1,1995
