x,y,s,id,cnt
0,32768,32768,3,1995
32768,32768,32768,3,1954
32768,0,32768,3,947
0,32768,32768,3,37
0,32768,32768,3,575
32768,32768,32768,3,2823
0,0,32768,3,1438
32768,0,32768,3,3564
32768,0,32768,3,11
0,0,32768,3,3055
0,0,32768,3,2627
32768,0,32768,3,3846
0,0,32768,3,3091
32768,0,32768,3,3820
32768,0,32768,3,2680
0,32768,32768,3,2
0,32768,32768,3,2404
32768,32768,32768,3,1022
0,0,32768,3,3295
0,0,32768,3,2282
32768,0,32768,3,3429
0,32768,32768,3,853
32768,32768,32768,3,2973
0,0,32768,3,697
32768,0,32768,3,721
0,0,32768,3,739
0,32768,32768,3,2826
0,32768,32768,3,1
32768,32768,32768,3,1003
32768,32768,32768,3,185
32768,0,32768,3,3171
0,32768,32768,3,3195
32768,32768,32768,3,32
32768,32768,32768,3,1474
0,0,32768,3,3288
32768,0,32768,3,2202
32768,0,32768,3,3261
0,0,32768,3,353
0,0,32768,3,3772
32768,0,32768,3,1616
0,0,32768,3,3774
0,0,32768,3,1860
32768,0,32768,3,3042
32768,0,32768,3,3132
0,32768,32768,3,1960
32768,32768,32768,3,59
0,0,32768,3,3691
0,0,32768,3,181
32768,0,32768,3,1468
0,32768,32768,3,1746
32768,32768,32768,3,1827
Infinity,Infinity,5,-2,0
Infinity,Infinity,5,-2,0
Infinity,Infinity,5,-2,0
524018.2559451189,43652.67158343168,5,-2,0
