x,y,s,id,cnt
0,32768,32768,1,1995
32768,32768,32768,1,1954
32768,0,32768,1,947
0,32768,32768,1,37
0,32768,32768,1,575
32768,32768,32768,1,2823
0,0,32768,1,1438
32768,0,32768,1,3564
32768,0,32768,1,11
0,0,32768,1,3055
0,0,32768,1,2627
32768,0,32768,1,3846
0,0,32768,1,3091
32768,0,32768,1,3820
32768,0,32768,1,2680
0,32768,32768,1,2
0,32768,32768,1,2404
32768,32768,32768,1,1022
0,0,32768,1,3295
0,0,32768,1,2282
32768,0,32768,1,3429
0,32768,32768,1,853
32768,32768,32768,1,2973
0,0,32768,1,697
32768,0,32768,1,721
0,0,32768,1,739
0,32768,32768,1,2826
0,32768,32768,1,1
32768,32768,32768,1,1003
32768,32768,32768,1,185
32768,0,32768,1,3171
0,32768,32768,1,3195
32768,32768,32768,1,32
32768,32768,32768,1,1474
0,0,32768,1,3288
32768,0,32768,1,2202
32768,0,32768,1,3261
0,0,32768,1,353
0,0,32768,1,3772
32768,0,32768,1,1616
0,0,32768,1,3774
0,0,32768,1,1860
32768,0,32768,1,3042
32768,0,32768,1,3132
0,32768,32768,1,1960
32768,32768,32768,1,59
0,0,32768,1,3691
0,0,32768,1,181
32768,0,32768,1,1468
0,32768,32768,1,1746
32768,32768,32768,1,1827
Infinity,Infinity,5,-2,0
524018.2559451188,43652.671583431686,5,-2,0
Infinity,Infinity,5,-2,0
Infinity,Infinity,5,-2,0
